0.05,0.03,0.04,0.00,0.04,0.05,0.05,0.06,0.05,0.05
0.04,0.02,0.07,0.04,0.05,0.05,0.05,0.05,0.05,0.05
0.06,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05
0.07,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.06,0.05
0.05,0.00,0.05,0.06,0.05,0.01,0.05,0.05,0.06,0.05
0.06,0.10,0.07,0.10,0.05,0.05,0.05,0.05,0.05,0.05
0.06,0.06,0.05,0.00,0.05,0.05,0.05,0.02,0.08,0.05
0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
